Company_ID,Ownership_Type,Internal_Control_Score,Effective_Tax_Rate,Audit_Likelihood,Offshore_Transactions,Previous_Fines,Board_Independence,Revenue,Profit_Before_Tax,Leverage_Ratio,Market_Region,Governance_Score,Restatement_History,Whistleblower_Reports,Tax_Risk_Score
C0001,Foreign Subsidiary,99,20.59,0.96,6,1576610,51,713897952,145474413,2.19,EU,33,0,4,High
C0002,Public,92,28.15,0.75,4,4035834,53,440859422,92963265,1.76,North America,83,0,2,High
C0003,Foreign Subsidiary,75,20.68,0.17,6,1630436,64,14129294,54854635,0.81,North America,56,0,3,High
C0004,Foreign Subsidiary,49,9.74,0.83,7,4477521,56,196416640,115011887,3.86,North America,97,1,5,High
C0005,Public,60,8.74,0.55,4,1541607,25,608433331,159104715,2.6,Middle East,63,0,1,High
C0006,Public,59,10.65,0.98,3,3153516,50,796558748,161339610,0.89,North America,30,0,3,High
C0007,Foreign Subsidiary,87,15.53,0.72,5,2804277,84,895391319,181738773,1.8,EU,88,0,2,High
C0008,Private,47,32.92,0.08,4,1046203,28,465087816,118411500,3.73,Asia,81,0,2,High
C0009,Foreign Subsidiary,75,28.99,0.39,4,1031660,40,186280446,44692538,1.95,Middle East,74,0,1,High
C0010,Foreign Subsidiary,68,17.98,0.52,7,1363056,86,781645026,188882120,0.45,Middle East,47,0,4,High
C0011,Foreign Subsidiary,81,19.79,0.84,9,1659429,61,170957948,106070333,0.62,Asia,79,0,0,High
C0012,Foreign Subsidiary,51,12.97,0.73,0,1236253,65,543623631,116702211,4.99,Middle East,63,1,1,High
C0013,Public,53,26.13,0.37,2,2817903,24,297520263,149678719,2.2,Asia,83,0,0,High
C0014,Foreign Subsidiary,87,29.08,0.65,4,1110221,56,825178759,115589869,3.22,Middle East,83,0,0,High
C0015,Private,93,12.17,0.58,4,3757576,48,947547478,174320975,3.13,Asia,81,0,1,High
C0016,Public,89,6.25,0.13,3,3448555,68,508919037,100286540,0.91,Asia,59,0,3,High
C0017,Private,60,23.72,0.23,2,2605453,44,727394606,77740117,2.06,EU,33,0,3,High
C0018,Private,61,21.88,0.34,8,1144586,29,590724331,123238650,3.6,Asia,82,1,2,High
C0019,Private,60,17.06,0.2,8,3666425,34,32599568,87077918,2.18,Asia,53,0,1,High
C0020,Private,83,24.32,0.15,3,4031686,49,189803930,125612160,2.99,South America,79,0,1,High
C0021,Public,89,21.52,0.06,5,4662584,78,108552732,96438463,1.92,Middle East,74,0,5,High
C0022,Public,69,12.52,0.87,6,3126277,74,127329406,101888777,1.4,Middle East,90,0,0,High
C0023,Private,78,16.93,0.29,4,2375568,74,9287754,198250236,0.19,North America,36,0,4,High
C0024,Private,59,17.84,0.29,4,3189306,88,298260886,196517699,2.18,Asia,74,0,1,High
C0025,Public,63,31.41,0.21,4,1276718,33,45711363,24431782,2.04,Asia,63,0,0,High
C0026,Public,62,33.83,0.48,6,4235001,75,563282064,106811448,2.36,Middle East,39,1,0,High
C0027,Public,46,31.79,0.51,6,2466935,80,444869258,15620010,0.13,North America,40,0,1,High
C0028,Foreign Subsidiary,48,26.58,0.21,5,2480899,24,828463431,159805474,2.64,EU,74,0,0,High
C0029,Foreign Subsidiary,40,22.55,0.61,2,989727,25,271330610,126859236,0.68,Asia,78,0,1,High
C0030,Foreign Subsidiary,65,25.68,0.72,1,1348535,32,330947481,151107798,2.53,South America,69,0,2,High
C0031,Private,77,33.17,0.37,5,1983882,59,362620220,179834890,1.78,Middle East,80,0,3,High
C0032,Foreign Subsidiary,77,12.5,0.59,2,3528659,78,879273523,161483008,0.31,North America,57,0,1,High
C0033,Private,93,21.05,0.5,7,3112092,32,137463792,10750539,0.91,Asia,91,1,0,High
C0034,Private,83,25.69,0.2,7,1780865,65,797656839,168318415,1.36,North America,44,0,2,High
C0035,Foreign Subsidiary,61,25.38,0.73,3,4590640,42,605973831,109865834,1.24,South America,67,0,3,High
C0036,Private,83,12.57,0.8,10,596336,40,930589446,108039320,3.06,North America,78,0,1,Medium
C0037,Foreign Subsidiary,49,22.6,0.65,8,3973524,53,838309810,199513959,0.32,Middle East,30,0,1,High
C0038,Foreign Subsidiary,94,28.88,0.32,6,523792,72,592458593,113241361,2.27,EU,79,0,1,Medium
C0039,Public,97,19.25,0.93,2,4250316,50,539631967,14520963,4.1,EU,43,0,4,High
C0040,Foreign Subsidiary,45,28.8,0.46,5,1369586,85,970048140,30114390,1.5,EU,42,0,0,High
C0041,Public,56,15.8,0.27,9,1887106,87,364189603,16811880,3.06,North America,51,0,2,High
C0042,Foreign Subsidiary,90,33.16,0.41,5,1364318,45,893599633,77505411,4.62,Asia,86,0,0,High
C0043,Foreign Subsidiary,89,21.02,0.69,6,1771133,33,906587788,139191040,3.96,Asia,70,0,0,High
C0044,Public,77,22.88,0.85,11,246144,44,989559197,55983606,4.17,Asia,66,0,2,Medium
C0045,Public,63,5.94,0.36,3,4359766,83,715550910,40553954,2.25,South America,34,0,2,High
C0046,Foreign Subsidiary,90,10.11,0.23,7,1677814,88,892099072,84311370,0.51,Asia,60,1,1,High
C0047,Private,49,23.99,0.63,6,4349508,87,663745851,100186015,2.48,Middle East,94,0,4,High
C0048,Public,95,17.6,0.92,11,4231370,39,962606136,4261337,0.46,North America,86,0,1,High
C0049,Private,47,20.24,0.18,5,1953827,62,64283774,128505560,2.54,Middle East,44,1,1,High
C0050,Private,60,6.89,0.8,8,61263,24,110143860,175199369,2.54,EU,58,0,2,High
C0051,Private,95,30.02,0.48,4,2769594,51,345541026,68802321,4.1,Middle East,83,0,0,High
C0052,Public,45,28.54,0.8,6,2156875,64,263758722,193502511,2.78,Middle East,70,0,1,High
C0053,Private,60,10.56,0.51,3,1004848,62,717123549,70600283,0.59,Middle East,63,0,0,High
C0054,Public,96,24.03,0.38,6,1623239,41,75801978,186587085,2.34,South America,64,0,1,High
C0055,Private,78,29.55,0.7,8,1079160,60,197527215,3558759,3.69,North America,84,0,3,High
C0056,Foreign Subsidiary,63,24.23,0.9,2,2382612,77,545626328,110056992,0.61,Asia,62,0,2,High
C0057,Foreign Subsidiary,72,14.31,0.32,4,2146343,78,517774304,22773854,2.5,Middle East,71,0,3,High
C0058,Public,98,24.68,0.46,3,4340679,47,315280719,44776212,2.57,EU,37,0,0,High
C0059,Foreign Subsidiary,57,11.31,0.23,4,809820,74,995108208,72063644,4.66,North America,59,0,3,High
C0060,Foreign Subsidiary,95,14.55,0.18,8,3642981,70,95995970,114127178,3.91,North America,71,0,3,High
C0061,Private,67,12.2,0.78,8,3614153,55,948776238,102627068,1.3,Middle East,54,0,2,High
C0062,Public,96,21.71,0.2,1,1273562,87,282744412,76203436,4.06,North America,43,0,2,High
C0063,Private,91,8.25,0.79,4,4267930,62,640382029,58584332,2.2,North America,94,0,0,High
C0064,Private,71,33.0,0.43,7,3268777,25,611124266,120965593,2.54,North America,59,0,0,High
C0065,Private,51,15.01,1.0,6,1058663,70,144012332,92351713,1.91,North America,42,0,0,High
C0066,Private,87,11.57,0.2,9,4969098,72,568255492,147664064,0.54,EU,41,0,3,High
C0067,Private,81,19.9,0.09,7,2750540,30,465619580,145447277,4.95,EU,53,0,4,High
C0068,Private,66,13.31,0.08,10,2715682,69,362430251,34323945,0.52,EU,99,0,1,High
C0069,Private,49,21.05,0.84,6,1709556,36,767959824,95129118,0.51,Asia,67,0,0,High
C0070,Public,85,15.46,0.44,12,114155,65,963390644,181857038,0.69,EU,81,0,2,Medium
C0071,Foreign Subsidiary,96,8.96,0.0,8,2920344,65,945932124,147376879,1.46,Asia,99,0,1,High
C0072,Private,91,12.98,0.87,3,601051,60,808125396,108281280,2.77,Middle East,64,0,5,Medium
C0073,Private,81,18.15,0.88,3,1532734,70,876149445,148615596,3.89,North America,57,0,0,High
C0074,Private,71,5.91,0.81,8,2648438,30,271513815,79587492,3.84,EU,34,0,1,High
C0075,Private,81,28.12,0.25,2,403921,70,833611824,193746471,2.56,Middle East,71,0,2,Medium
C0076,Private,65,23.65,0.37,4,3151362,46,683794424,134507722,4.24,North America,49,0,1,High
C0077,Private,64,23.04,0.74,4,4417334,68,968389818,28174047,0.2,Middle East,51,0,0,High
C0078,Foreign Subsidiary,50,21.38,0.49,5,3598219,35,958837240,184891534,0.3,South America,80,0,2,High
C0079,Foreign Subsidiary,62,22.71,0.15,6,3174700,69,123463733,118427239,3.26,North America,76,1,1,High
C0080,Private,73,33.04,0.24,4,921256,34,814320553,1089150,2.38,North America,68,0,4,Medium
C0081,Foreign Subsidiary,96,5.26,0.97,7,4918623,73,763809621,92036120,2.57,Asia,57,0,3,High
C0082,Public,91,6.43,0.15,7,488992,33,933306967,50257012,1.17,North America,97,0,1,High
C0083,Private,79,10.74,0.73,6,891717,45,309395111,145395479,4.2,Middle East,76,0,2,Medium
C0084,Public,62,10.02,0.48,3,1380829,59,425360465,50533993,2.57,South America,50,0,2,High
C0085,Public,68,10.44,0.75,6,409473,37,789261019,4209204,1.13,South America,77,0,5,Medium
C0086,Private,70,25.16,0.66,4,3360815,45,412015736,60620374,0.78,EU,79,0,1,High
C0087,Foreign Subsidiary,46,18.78,0.44,5,2942776,37,329859465,139859724,4.98,EU,78,0,0,High
C0088,Public,79,34.75,0.35,4,3318852,20,396253760,107094250,3.66,Middle East,91,0,1,High
C0089,Private,72,11.81,0.75,5,910509,35,479800996,39281756,2.71,EU,64,0,3,Medium
C0090,Public,60,14.32,0.32,6,2588079,40,258157145,19150971,2.88,South America,34,0,2,High
C0091,Public,41,34.53,0.79,3,3484200,85,259205425,190284094,0.64,South America,66,0,1,High
C0092,Public,57,29.95,0.68,5,1417322,22,555086489,165053004,3.64,Asia,70,0,0,High
C0093,Public,86,19.09,0.58,3,4513295,27,335825248,12766135,4.6,North America,69,0,0,High
C0094,Foreign Subsidiary,72,21.64,0.37,2,1332403,37,671999932,152245563,4.5,North America,87,0,1,High
C0095,Public,76,30.3,0.21,5,4202708,44,178623990,38985329,3.96,EU,31,0,2,High
C0096,Public,73,19.43,0.71,8,2332568,37,85117064,104950830,3.3,Middle East,79,1,0,High
